信号时间,信号类型,方向,开仓价,张力,DXY燃料,首次开仓盈亏%,最优开仓盈亏%,最优开仓周期,价格优势%,最优平仓盈亏%,最优平仓周期,是好机会,好机会类型,好机会盈亏%,好机会平仓周期,张力变化%
2026-01-02 00:00:00,LOW_OSCILLATION,long,88950.65,-1.1869537661796687,0.3086045691600559,-0.10459732447148345,6.01766260280279,22,6.01766260280279,6.01766260280279,22,True,2,6.01766260280279,22,0.0
2026-01-02 04:00:00,LOW_OSCILLATION,long,88857.61,-1.1939485509415702,0.3086045691600559,0.72626306289354,6.128670352488654,21,6.128670352488654,6.128670352488654,21,True,1,6.128670352488654,1,0.0
2026-01-02 08:00:00,LOW_OSCILLATION,long,89502.95,-1.2004449302612614,0.3086045691600559,-0.09479017172059302,5.363454500661707,20,5.363454500661707,5.363454500661707,20,True,2,5.363454500661707,20,0.0
2026-01-02 12:00:00,LOW_OSCILLATION,long,89418.11,-1.2064261700330052,0.3086045691600559,0.5358198691517807,5.463423460862675,19,5.463423460862675,5.463423460862675,19,True,1,5.463423460862675,1,0.0
2026-01-02 16:00:00,LOW_OSCILLATION,long,89897.23,-1.2118758059795205,0.3086045691600559,0.10890213191219435,4.901341231537389,18,4.901341231537389,4.901341231537389,18,True,1,4.901341231537389,1,0.0
2026-01-02 20:00:00,LOW_OSCILLATION,long,89995.13,-1.2167776719872727,0.3086045691600559,0.3623418289411844,4.787225708768896,17,4.787225708768896,4.787225708768896,17,True,1,4.787225708768896,1,0.0
2026-01-03 00:00:00,LOW_OSCILLATION,long,90321.22,-1.221115928433368,0.3086045691600559,-0.8238263389267731,4.4089085599153695,16,4.4089085599153695,4.4089085599153695,16,True,2,4.4089085599153695,16,0.0
2026-01-03 04:00:00,LOW_OSCILLATION,long,89577.13,-1.224875090456688,0.3086045691600559,0.19604334275947505,5.276201637627807,15,5.276201637627807,5.276201637627807,15,True,1,5.276201637627807,1,0.0
2026-01-03 08:00:00,LOW_OSCILLATION,long,89752.74,-1.228040056125548,0.3086045691600559,0.24129625457673204,5.070218469096307,14,5.070218469096307,5.070218469096307,14,True,1,5.070218469096307,1,0.0
2026-01-03 12:00:00,LOW_OSCILLATION,long,89969.31,-1.2305961344538112,0.3086045691600559,0.1716807653632182,4.817298254260254,13,4.817298254260254,4.817298254260254,13,True,1,4.817298254260254,1,0.0
2026-01-03 16:00:00,LOW_OSCILLATION,long,90123.77,-1.232529073217154,0.3086045691600559,0.5594972336376859,4.637655526394413,12,4.637655526394413,4.637655526394413,12,True,1,4.637655526394413,1,0.0
2026-01-03 20:00:00,LOW_OSCILLATION,long,90628.01,-1.2338250865210327,0.3086045691600559,0.6717238963980386,4.055468061143569,11,4.055468061143569,4.055468061143569,11,True,1,4.055468061143569,1,0.0
2026-01-04 00:00:00,LOW_OSCILLATION,long,91236.78,-1.234470882071807,0.3086045691600559,0.32357564569902747,3.3611664067933957,10,3.3611664067933957,3.3611664067933957,10,True,1,3.3611664067933957,1,0.0
2026-01-04 04:00:00,LOW_OSCILLATION,long,91532.0,-1.2344536881025086,0.3086045691600559,-0.2534632696761788,3.027793558536899,9,3.027793558536899,3.027793558536899,9,True,2,3.027793558536899,9,0.0
2026-01-04 08:00:00,LOW_OSCILLATION,long,91300.0,-1.2337612799048026,0.3086045691600559,0.03826944140197407,3.289594742606784,8,3.289594742606784,3.289594742606784,8,True,1,3.289594742606784,1,0.0
2026-01-04 12:00:00,LOW_OSCILLATION,long,91334.94,-1.232382005918925,0.3086045691600559,-0.21554730314597603,3.2500815131646132,7,3.2500815131646132,3.2500815131646132,7,True,2,3.2500815131646132,7,0.0
2026-01-04 16:00:00,LOW_OSCILLATION,long,91138.07,-1.230304813333564,0.3086045691600559,0.4297435747761489,3.473115022075832,6,3.473115022075832,3.473115022075832,6,True,1,3.473115022075832,1,0.0
2026-01-04 20:00:00,LOW_OSCILLATION,long,91529.73,-1.2275192731480735,0.3086045691600559,1.4732808673203834,3.0303487183890945,5,3.0303487183890945,3.0303487183890945,5,True,1,3.0303487183890945,1,0.0
2026-01-05 00:00:00,LOW_OSCILLATION,long,92878.22,-1.2240156046497963,-0.1203969907016101,-0.385009531836416,1.5344609317448084,4,1.5344609317448084,1.5344609317448084,4,True,2,1.5344609317448084,4,0.0
2026-01-05 04:00:00,LOW_OSCILLATION,long,92520.63,-1.219784699259812,-0.1203969907016101,0.6632358642607493,1.926889170555788,3,1.926889170555788,1.926889170555788,3,True,1,1.926889170555788,1,0.0
2026-01-05 08:00:00,LOW_OSCILLATION,long,93134.26,-1.214818143701014,-0.1203969907016101,0.8841751681926728,1.2553275239423167,2,1.2553275239423167,1.2553275239423167,2,True,1,1.2553275239423167,1,0.0
2026-01-05 12:00:00,LOW_OSCILLATION,long,93957.73,-1.2091082424431134,-0.1203969907016101,0.36789947990441896,0.36789947990441896,1,0.36789947990441896,0.36789947990441896,1,True,1,0.36789947990441896,1,0.0
2026-01-05 16:00:00,LOW_OSCILLATION,long,94303.4,-1.202648039379941,-0.1203969907016101,-0.4704920501275541,-0.4704920501275541,1,-0.4704920501275541,-0.4704920501275541,1,False,0,-0.4704920501275541,1,0.0
2026-01-05 20:00:00,LOW_OSCILLATION,long,93859.71,-1.1954313386952542,-0.1203969907016101,-0.09638853561341831,-0.020999425632155053,3,-0.020999425632155053,-0.020999425632155053,3,False,0,-0.09638853561341831,1,0.0
2026-01-06 00:00:00,LOW_OSCILLATION,long,93769.24,-1.1874527248741982,-0.1165785343977505,-0.5483248024618771,0.07546184655009976,2,0.07546184655009976,0.07546184655009976,2,True,2,0.07546184655009976,2,0.0
2026-01-06 04:00:00,LOW_OSCILLATION,long,93255.08,-1.1787075818185897,-0.1165785343977505,0.6272258841019687,0.6272258841019687,1,0.6272258841019687,0.6272258841019687,1,True,1,0.6272258841019687,1,0.0
