时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,V705通过,过滤原因
2025-11-21 00:00:00,85821.34,HIGH_OSCILLATION,做空,0.6,1.2435309191294797,8.931103536746754e-05,1.0176873403599653,-5.380939495986811,0.0227674905200357,False,趋势不符
2025-11-21 04:00:00,84049.39,HIGH_OSCILLATION,做空,0.6,1.2108628856637988,0.0001128950532054,2.1444033134280263,-6.6826888929802655,0.0227674905200357,False,趋势不符
2025-11-21 08:00:00,82309.66,HIGH_OSCILLATION,做空,0.6,1.1783308357928175,0.0001359835946996,2.345188179657952,-7.85831952969757,0.0227674905200357,False,趋势不符
2025-11-21 12:00:00,82932.47,HIGH_OSCILLATION,做空,0.6,1.1459573396533742,0.0001585537315376,3.0309601652260914,-6.52359465696691,0.0227674905200357,False,趋势不符
2025-11-21 16:00:00,84209.3,HIGH_OSCILLATION,做空,0.6,1.1137644270927398,0.0001805835788091,1.0504036539642532,-4.622582581210315,0.0227674905200357,False,趋势不符
2025-11-21 20:00:00,85129.43,HIGH_OSCILLATION,做空,0.6,1.0817735668500124,0.0002020523179069,0.5658841851131196,-3.2505133291195207,0.0227674905200357,False,趋势不符
2025-11-22 00:00:00,84440.47,HIGH_OSCILLATION,做空,0.6,1.05000564682472,0.0002229402174349,0.3908913180197139,-3.6634440563790616,0.0227674905200357,False,趋势不符
2025-11-22 04:00:00,84580.06,HIGH_OSCILLATION,做空,0.6,1.018480955451594,0.0002432286521665,0.2969288873633745,-3.1810724637353696,0.0227674905200357,False,趋势不符
2025-11-22 08:00:00,84098.94,HIGH_OSCILLATION,做空,0.6,0.987219164198431,0.0002629001199631,0.44656974478239847,-3.3884435726097326,0.0227674905200357,False,趋势不符
2025-11-22 12:00:00,84284.01,HIGH_OSCILLATION,做空,0.6,0.9562393112019856,0.0002819382567175,0.363726686907011,-2.882094470469174,0.0227674905200357,False,趋势不符
2025-12-19 12:00:00,87951.87,LOW_OSCILLATION,做多,0.6,-0.3009014179504088,-0.0001551643770004,1.622926694969814,0.7564766799366665,-0.1829195305042029,True,
2025-12-19 16:00:00,87845.92,LOW_OSCILLATION,做多,0.6,-0.3068213538553943,-0.0001585443084854,1.2069714693613462,0.5742685521449209,-0.1829195305042029,True,
2025-12-19 20:00:00,88136.94,LOW_OSCILLATION,做多,0.6,-0.3129031749105291,-0.0001618851501493,0.5232807235285725,0.8203223080666955,-0.1829195305042029,True,
2025-12-20 00:00:00,88214.98,LOW_OSCILLATION,做多,0.6,-0.3191501711549535,-0.0001651751892895,0.2870710028691103,0.8222525113610377,-0.1829195305042029,False,量能过低
2025-12-20 04:00:00,88275.41,LOW_OSCILLATION,做多,0.6,-0.3255655697898224,-0.0001684023904445,0.23371101383516943,0.8057473927091807,-0.1829195305042029,False,量能过低
2025-12-20 08:00:00,88277.66,LOW_OSCILLATION,做多,0.6,-0.3321525228467407,-0.0001715544220493,0.2419658612399053,0.7307716548271398,-0.1829195305042029,False,量能过低
2025-12-20 12:00:00,88178.71,LOW_OSCILLATION,做多,0.6,-0.3389140945876402,-0.0001746186839812,0.39191157272069793,0.5586901689360201,-0.1829195305042029,False,量能过低
2025-12-20 16:00:00,88232.92,LOW_OSCILLATION,做多,0.6,-0.3458532486645772,-0.0001775823360374,0.17388078699361215,0.5610831909466008,-0.1829195305042029,False,量能过低
2025-12-20 20:00:00,88360.9,LOW_OSCILLATION,做多,0.6,-0.3529728350687284,-0.0001804323272141,0.21503335154887251,0.6391864921868894,-0.1829195305042029,False,量能过低
2025-12-21 00:00:00,88070.64,LOW_OSCILLATION,做多,0.6,-0.3602755768986554,-0.0001831554257759,0.36397534041771545,0.27912124154655055,-0.1829195305042029,False,量能过低
2025-12-21 04:00:00,88174.79,LOW_OSCILLATION,做多,0.6,-0.3677640569786177,-0.0001857382500352,0.171164550180714,0.3596954094303261,-0.1829195305042029,False,量能过低
2025-12-21 08:00:00,88601.57,LOW_OSCILLATION,做多,0.6,-0.3754407043583799,-0.0001881672997998,0.5437782009897983,0.7643176000494917,-0.1829195305042029,True,
2025-12-21 12:00:00,88067.95,LOW_OSCILLATION,做多,0.6,-0.3833077807265257,-0.0001904289883837,0.8231504676797163,0.1424289832743611,-0.1829195305042029,True,
2025-12-21 16:00:00,88484.01,LOW_OSCILLATION,做多,0.6,-0.3913673667698703,-0.0001925096751986,0.4684814456628637,0.5565840976617995,-0.1829195305042029,False,量能过低
2025-12-21 20:00:00,88658.86,LOW_OSCILLATION,做多,0.6,-0.3996213485119597,-0.0001943956987449,0.3441315064046015,0.6828666587578752,-0.1829195305042029,False,量能过低
2025-12-22 00:00:00,88774.12,LOW_OSCILLATION,做多,0.6,-0.4080714036641182,-0.000196073410069,1.3189311505630081,0.7356873818305063,0.2420530258510605,True,
2025-12-22 04:00:00,89170.1,LOW_OSCILLATION,做多,0.6,-0.4167189880227837,-0.0001975292065068,0.6897853010594227,1.0709544184664255,0.2420530258510605,True,
2025-12-22 08:00:00,89945.43,LOW_OSCILLATION,做多,0.6,-0.4255653219471516,-0.0001987495657025,1.428029198200341,1.7608005513824476,0.2420530258510605,True,
2025-12-22 12:00:00,89726.92,LOW_OSCILLATION,做多,0.6,-0.4346113769513513,-0.0001997210798317,2.1332942322668305,1.3674644070566426,0.2420530258510605,True,
2025-12-22 16:00:00,88052.43,LOW_OSCILLATION,做多,0.6,-0.4438578624455035,-0.0002004304899525,1.3816121412370719,-0.47456945366025255,0.2420530258510605,True,
2025-12-22 20:00:00,88620.79,LOW_OSCILLATION,做多,0.6,-0.4533052126600421,-0.0002008647203863,0.9512552312578003,0.15183672320986927,0.2420530258510605,True,
2025-12-23 00:00:00,88170.0,LOW_OSCILLATION,做多,0.6,-0.4629535737877019,-0.0002010109131211,0.9940232216758469,-0.3236608649948191,0.0900100037478352,True,
2025-12-23 04:00:00,87574.79,LOW_OSCILLATION,做多,0.6,-0.472802791377461,-0.0002008564620993,1.3120876895738125,-0.9024941406161434,0.0900100037478352,True,
