时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,开盘价,最高价,最低价,成交量,价格vsEMA%,V7.0.5通过,过滤原因
2025-10-19 20:00:00,108642.78,BEARISH_SINGULARITY,short,0.7,0.776651947808593,-0.0808684154261448,0.5460874204873566,0.445863854630624,-0.1830327934496225,108908.43,109370.99,108471.1,2048.76152,0.445863854630624,True,
2025-10-20 00:00:00,110145.44,BEARISH_SINGULARITY,short,0.7,0.8051311136876981,-0.0779627102781288,1.0455365694406515,1.6574775380648392,0.0997443714116462,108642.77,110427.86,107402.52,3683.55508,1.6574775380648392,True,
2025-10-20 04:00:00,111169.92,BEARISH_SINGULARITY,short,0.7,0.847561876374259,-0.0835227759428315,1.0995272271616228,2.349279987581028,0.0997443714116462,110145.45,111445.67,109951.96,3967.97672,2.3492799875810273,True,
2025-10-20 08:00:00,111016.75,BEARISH_SINGULARITY,short,0.7,0.8911757829517468,-0.092012648125587,0.9432642124307166,1.993759212975743,0.0997443714116462,111169.91,111679.25,110608.27,3452.86704,1.993759212975743,True,
2025-10-20 12:00:00,111144.55,BEARISH_SINGULARITY,short,0.7,0.9471754994990474,-0.1018362630551237,0.8816218236144319,1.9062753000477,0.0997443714116462,111016.75,111705.56,110588.23,3006.20504,1.9062753000477002,True,
2025-10-20 16:00:00,110803.22,BEARISH_SINGULARITY,short,0.7,0.9943324881289094,-0.1114737940906918,1.281484694638985,1.439387848470714,0.0997443714116462,111144.55,111303.05,109855.83,3716.65669,1.4393878484707139,True,
2025-10-20 20:00:00,110532.09,BEARISH_SINGULARITY,short,0.7,1.0473424555762867,-0.1221047836217504,0.5303053419799716,1.0765046169710395,0.0997443714116462,110803.22,111272.0,110418.25,1366.18103,1.0765046169710395,True,
2025-10-21 00:00:00,109059.22,BEARISH_SINGULARITY,short,0.7,1.0755584459032352,-0.1284377986693904,0.9620624732692545,-0.2446809010390571,-0.2849848418852939,110532.09,110532.09,109052.09,2405.81342,-0.2446809010390571,True,
2025-10-21 04:00:00,108086.37,BEARISH_SINGULARITY,short,0.7,1.03594449332416,-0.1253010303850135,1.8558284137665602,-1.0275957718673725,-0.2849848418852939,109059.23,109059.23,107473.72,4930.3268,-1.0275957718673723,True,
2025-10-21 08:00:00,108580.01,BEARISH_SINGULARITY,short,0.7,0.8458172473205453,-0.1035649692538062,1.118598662311113,-0.521048534167739,-0.2849848418852939,108086.38,108811.47,107484.22,2989.72657,-0.521048534167739,True,
2025-10-21 12:00:00,113422.61,BEARISH_SINGULARITY,short,0.7,0.7199190683685799,-0.0874028149674401,3.307540779786577,3.5295685121396034,-0.2849848418852939,108580.0,113557.62,107922.06,10002.10737,3.5295685121396034,True,
